well,strain,drug,conc,name
A01,,DMSO,0.5%,DMSO
B01,,DMSO,0.5%,DMSO
C01,,DMSO,0.5%,DMSO
D01,,DMSO,0.5%,DMSO
E01,,DMSO,0.5%,DMSO
F01,,DMSO,0.5%,DMSO
G01,,DMSO,0.5%,DMSO
H01,,DMSO,0.5%,DMSO
A02,,HY-A0295,10mM  * 10uL,(R)-Propranolol (hydrochloride)
B02,,HY-14280,10mM  * 10uL,Entacapone
C02,,HY-B1248,10mM  * 10uL,Chlorhexidine
D02,,HY-13078,10mM  * 10uL,Cobimetinib (racemate)
E02,,HY-134992,10mM  * 10uL,Vazegepant
F02,,HY-B0661,10mM  * 10uL,Tamsulosin
G02,,HY-106579,10mM  * 10uL,Tiaprofenic acid
H02,,HY-109500,10mM  * 10uL,Masoprocol
A03,,HY-100818,10mM  * 10uL,Futibatinib
B03,,HY-18706,10mM  * 10uL,trans-Tranilast
C03,,HY-N0159,10mM  * 10uL,Paeonol
D03,,HY-N0584A,10mM  * 10uL,Anisodamine (hydrobromide)
E03,,HY-14136,10mM  * 10uL,Rimonabant
F03,,HY-B1589A,10mM  * 10uL,Carbinoxamine maleate salt
G03,,HY-B0495,10mM  * 10uL,Lamotrigine
H03,,HY-B0612A,10mM  * 10uL,Lercanidipine (hydrochloride)
A04,,HY-B0395C,10mM  * 10uL,Sitafloxacin (hydrate)
B04,,HY-14668,10mM  * 10uL,Lomitapide (mesylate)
C04,,HY-108896,10mM  * 10uL,Icatibant (acetate)
D04,,HY-B0764,10mM  * 10uL,Bucladesine (sodium)
E04,,HY-B0984,10mM  * 10uL,Fendiline (hydrochloride)
F04,,HY-15185,10mM  * 10uL,Nirogacestat
G04,,HY-17355A,10mM  * 10uL,Dexpramipexole (dihydrochloride)
H04,,HY-13678,10mM  * 10uL,Meropenem
A05,,HY-108411,10mM  * 10uL,Emedastine
B05,,HY-B0206,10mM  * 10uL,Rizatriptan (benzoate)
C05,,HY-B0524A,10mM  * 10uL,Betahistine (dihydrochloride)
D05,,HY-111326A,10mM  * 10uL,Naphazoline (nitrate)
E05,,HY-B0185A,10mM  * 10uL,Lidocaine (hydrochloride)
F05,,HY-A0042,10mM  * 10uL,Rufinamide
G05,,HY-14852,10mM  * 10uL,Tafamidis
H05,,HY-13986,10mM  * 10uL,Merimepodib
A06,,HY-17461A,10mM  * 10uL,Cortisone acetate
B06,,HY-B1742,10mM  * 10uL,Proxyphylline
C06,,HY-B0691A,10mM  * 10uL,Ecabet (sodium)
D06,,HY-10493,10mM  * 10uL,Cobicistat
E06,,HY-B0178A,10mM  * 10uL,Guanidine (hydrochloride)
F06,,HY-117660,10mM  * 10uL,Lincomycin
G06,,HY-13749A,10mM  * 10uL,Sitagliptin (phosphate)
H06,,HY-19522,10mM  * 10uL,Seladelpar
A07,,HY-B0957,10mM  * 10uL,Erythromycin Ethylsuccinate
B07,,HY-12720A,10mM  * 10uL,Apraclonidine (hydrochloride)
C07,,HY-B0575,10mM  * 10uL,Triamterene
D07,,HY-B1019,10mM  * 10uL,Sulpiride
E07,,HY-124060,10mM  * 10uL,PS423
F07,,HY-N0197,10mM  * 10uL,Baicalin
G07,,HY-A0153A,10mM  * 10uL,Cephapirin (sodium)
H07,,HY-17355,10mM  * 10uL,Pramipexole (dihydrochloride)
A08,,HY-B0554,10mM  * 10uL,Norethindrone
B08,,HY-B2115,10mM  * 10uL,Sulfogaiacol
C08,,HY-B0347,10mM  * 10uL,Lacidipine
D08,,HY-17385,10mM  * 10uL,Atomoxetine (hydrochloride)
E08,,HY-A0004,10mM  * 10uL,Decitabine
F08,,HY-B0573,10mM  * 10uL,Propranolol (hydrochloride)
G08,,HY-B0134,10mM  * 10uL,Bestatin
H08,,HY-B0717,10mM  * 10uL,Tocofersolan
A09,,HY-75161,10mM  * 10uL,(-)-Menthol
B09,,HY-B0275A,10mM  * 10uL,Oxytetracycline (hydrochloride)
