,index,well,strain,drug,conc
0,0,A01,2ul,ctrl,
1,1,B01,2ul,ctrl,
2,2,C01,2ul,ctrl,
3,3,D01,2ul,ctrl,
4,4,E01,2ul,ctrl,
5,5,F01,2ul,ctrl,
6,6,G01,2ul,ctrl,
7,7,H01,2ul,ctrl,
8,8,A02,2ul,TJ1052,
9,9,B02,2ul,TJ1052,
10,10,C02,2ul,TJ1052,
11,11,D02,2ul,TJ1052,
12,12,E02,2ul,TJ1052,
13,13,F02,2ul,TJ1052,
14,14,G02,2ul,TJ1052,
15,15,H02,2ul,TJ1052,
16,16,A03,2ul,ctrl,
17,17,B03,2ul,ctrl,
18,18,C03,2ul,ctrl,
19,19,D03,2ul,ctrl,
20,20,E03,2ul,ctrl,
21,21,F03,2ul,ctrl,
22,22,G03,2ul,ctrl,
23,23,H03,2ul,ctrl,
24,24,A04,2ul,TJ1052,
25,25,B04,2ul,TJ1052,
26,26,C04,2ul,TJ1052,
27,27,D04,2ul,TJ1052,
28,28,E04,2ul,TJ1052,
29,29,F04,2ul,TJ1052,
30,30,G04,2ul,TJ1052,
31,31,H04,2ul,TJ1052,
32,32,A05,2ul,ctrl,
33,33,B05,2ul,ctrl,
34,34,C05,2ul,ctrl,
35,35,D05,2ul,ctrl,
36,36,E05,2ul,ctrl,
37,37,F05,2ul,ctrl,
38,38,G05,2ul,ctrl,
39,39,H05,2ul,ctrl,
40,40,A06,2ul,TJ1052,
41,41,B06,2ul,TJ1052,
42,42,C06,2ul,TJ1052,
43,43,D06,2ul,TJ1052,
44,44,E06,2ul,TJ1052,
45,45,F06,2ul,TJ1052,
46,46,G06,2ul,TJ1052,
47,47,H06,2ul,TJ1052,
48,48,A07,4ul,ctrl,
49,49,B07,4ul,ctrl,
50,50,C07,4ul,ctrl,
51,51,D07,4ul,ctrl,
52,52,E07,4ul,ctrl,
53,53,F07,4ul,ctrl,
54,54,G07,4ul,ctrl,
55,55,H07,4ul,ctrl,
56,56,A08,4ul,TJ1052,
57,57,B08,4ul,TJ1052,
58,58,C08,4ul,TJ1052,
59,59,D08,4ul,TJ1052,
60,60,E08,4ul,TJ1052,
61,61,F08,4ul,TJ1052,
62,62,G08,4ul,TJ1052,
63,63,H08,4ul,TJ1052,
64,64,A09,4ul,ctrl,
65,65,B09,4ul,ctrl,
66,66,C09,4ul,ctrl,
67,67,D09,4ul,ctrl,
68,68,E09,4ul,ctrl,
69,69,F09,4ul,ctrl,
70,70,G09,4ul,ctrl,
71,71,H09,4ul,ctrl,
72,72,A10,4ul,TJ1052,
73,73,B10,4ul,TJ1052,
74,74,C10,4ul,TJ1052,
75,75,D10,4ul,TJ1052,
76,76,E10,4ul,TJ1052,
77,77,F10,4ul,TJ1052,
78,78,G10,4ul,TJ1052,
79,79,H10,4ul,TJ1052,
80,80,A11,4ul,ctrl,
81,81,B11,4ul,ctrl,
82,82,C11,4ul,ctrl,
83,83,D11,4ul,ctrl,
84,84,E11,4ul,ctrl,
85,85,F11,4ul,ctrl,
86,86,G11,4ul,ctrl,
87,87,H11,4ul,ctrl,
88,88,A12,4ul,TJ1052,
89,89,B12,4ul,TJ1052,
90,90,C12,4ul,TJ1052,
91,91,D12,4ul,TJ1052,
92,92,E12,4ul,TJ1052,
93,93,F12,4ul,TJ1052,
94,94,G12,4ul,TJ1052,
95,95,H12,4ul,TJ1052,
